Klaim;SMS Banking - Pembayaran PBB;7 Hk;1 Day;7 Hk;;;;
Klaim;SMS Banking - Pembayaran Samsat;7 Hk;1 Day;7 Hk;;;;
Klaim;SMS Banking - Pembayaran Tagihan BigTV;7 Hk;1 Day;7 Hk;;;;
Klaim;SMS Banking - Pembayaran Tagihan Kartu Hallo;7 Hk;1 Day;7 Hk;;;;
Klaim;SMS Banking - Pembayaran Tagihan PLN;7 Hk;1 Day;7 Hk;;;;
Klaim;SMS Banking - Pembayaran Tagihan PSTN;7 Hk;1 Day;7 Hk;;;;
Klaim;SMS Banking - Pembelian Pulsa Indosat;7 Hk;1 Day;7 Hk;;;;
Klaim;SMS Banking - Pembelian Data Telkomsel;7 Hk;1 Day;7 Hk;;;;
Klaim;SMS Banking - Pembelian Pulsa Three;7 Hk;1 Day;7 Hk;;;;
Klaim;SMS Banking - Pembelian Pulsa XL;7 Hk;1 Day;7 Hk;;;;
Klaim;SMS Banking - Pembelian Token PLN;7 Hk;1 Day;7 Hk;;;;
Klaim;SMS Banking - Transfer Bank Lain;14 Hk;1 Day;14 Hk;;;;
Klaim;SMS Banking - Transfer Bank Lain > 75 hari;;1 Day;;;;;
Klaim;TellerApp/Reporting - Gagal Transaksi;7 Hk;1 Day;7 Hk;;;;
Klaim;TellerApp/Reporting - Pembayaran Samsat;7 Hk;1 Day;7 Hk;;;;
Network;Gangguan Ekstranet BI;1 Hrs;30 Mins;1 Hrs;;;;
Network;Gangguan Internet;1 Day;30 Mins;1 Day;;;;
Network;Gangguan LAN;1 Day;30 Mins;1 Day;;;;
Network;Gangguan WAN;1 Day;30 Mins;1 Day;;;;
Network;Permintaan Pemasangan Jaringan;5 Days;30 Mins;5 Days;;;;
Permintaan;ATM -Pengiriman Log Jurnal;5 Days;30 Mins;5 Days;;;;
Permintaan;ATM - Permintaan Log Switching;5 Days;30 Mins;5 Days;;;;
Permintaan;Permintaan Pengiriman SMS Aktivasi BSGTouch;1 Days;30 Mins;1 Days;;;;
Permintaan;Formulir Serah Terima Komputer;1 Days;30 Mins;1 Days;;;;
Permintaan;HRMS - Perubahan IP PC;5 Days;30 Mins;5 Days;;;;
Permintaan;Memo ke Divisi TI;5 Days;30 Mins;5 Days;;;;
Permintaan;Pembukaan Operasional Cabang di Hari Libur;1 Days;30 Mins;1 Days;;;;
Permintaan;Penyelesaian Selisih ATM;5 Days;30 Mins;5 Days;;;;
Permintaan;Upload Data DHN;5 Days;30 Mins;5 Days;;;;
Permintaan;Permintaan Akses Flasdisk / Hardisk / SSD;5 Days;30 Mins;5 Days;;;;
Permintaan;Permintaan Data Lain;10 Days;30 Mins;10 Days;;;;
Permintaan;Pemintaan Pengembangan Aplikasi;10 Days;30 Mins;10 Days;;;;
Permintaan;Permintaan Perpanjangan Waktu Operasional;1 Days;30 Mins;1 Days;;;;
Permintaan;Permintaan Perubahan Nomor PK Kredit;5 Days;30 Mins;5 Days;;;;
Permintaan;Permintaan Softcopy RC;5 Days;30 Mins;5 Days;;;;
Permintaan;Surat Divisi TI;5 Days;30 Mins;5 Days;;;;
Permintaan;Permintaan Pendaftaran Prefiks Bank;5 Days;30 Mins;5 Days;;;;
Permintaan;Permintaan Penghapusan Prefiks Bank;5 Days;30 Mins;5 Days;;;;
Permintaan;Permintaan Penyesuaian Prefiks Bank;5 Days;30 Mins;5 Days;;;;
